Items Vigentes - Automoviles ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Datos Generales de la Póliza,,,,,,Asegurado,,,Detalle del Vehículo,,,,,,,,,,,,,,,Intermediarios,,,,Accesorios y Coberturas,
Cia,Poliza,IDPoliza,Estado Poliza,Vigencia Desde,Vigencia Hasta,Asegurado,Conductor Asignado,Nro Documento,Patente,Marca,Modelo,Año,0 KM,Motor,Chasis,CodReferencia,Procedencia,Combustible,Tipo Uso,Rastreo Satelital,Cobertura,Cobertura Det,Suma Asgurada,Productor,Agente,SubAgente,Ejecutivo,Accesorios,Cob. Adicionales
PROVINCIA SEGUROS S.A.,7301100,34171027,VIGENTE,31/12/2014,31/12/2015, MUNICIPALIDAD DE BAHIA BLANCA,,0, OQQ521,FIAT, DUCATO 2.3 JTD FURGON MAXICARGO TE ,2015,NO, 7210531 ,,0,,,Particular,NO,1," RC, ROBO, INCENDIO,DESTRUC. TOTAL",0,HBO Broker,HBO Organismos Oficiales.,Municipalidad de Bahia Blanca ,,," RC, ROBO, INCENDIO,DESTRUC. TOTAL: $0.00 Tasa: 0.000"
PROVINCIA SEGUROS S.A.,7301100,34171027,VIGENTE,31/12/2014,31/12/2015, MUNICIPALIDAD DE BAHIA BLANCA,,0,A/D,ACOPLADO,ACOPLADO ACOPLADO,1993,NO,AD,103*RIE103,0,,Diesel,,,A, Responsabilidad Civil hacia Terceros,0,HBO Broker,HBO Organismos Oficiales.,Municipalidad de Bahia Blanca ,,,
PROVINCIA SEGUROS S.A.,7301100,34171027,VIGENTE,31/12/2014,31/12/2015, MUNICIPALIDAD DE BAHIA BLANCA,,0,A/D,ACOPLADO,ACOPLADO ACOPLADO,1997,NO,A/D,104*RIE104,0,,Diesel,,,A, Responsabilidad Civil hacia Terceros,0,HBO Broker,HBO Organismos Oficiales.,Municipalidad de Bahia Blanca ,,,
PROVINCIA SEGUROS S.A.,7301100,34171027,VIGENTE,31/12/2014,31/12/2015, MUNICIPALIDAD DE BAHIA BLANCA,,0,A/D,ACOPLADO,ACOPLADO ACOPLADO,1999,NO,A/D,117*RMKII,0,,Diesel,,,A, Responsabilidad Civil hacia Terceros,0,HBO Broker,HBO Organismos Oficiales.,Municipalidad de Bahia Blanca ,,,
PROVINCIA SEGUROS S.A.,7301100,34171027,VIGENTE,31/12/2014,31/12/2015, MUNICIPALIDAD DE BAHIA BLANCA,,0,A/D,ACOPLADO,ACOPLADO ACOPLADO,2000,NO,A/D,130*RIE130,0,,Diesel,,,A, Responsabilidad Civil hacia Terceros,0,HBO Broker,HBO Organismos Oficiales.,Municipalidad de Bahia Blanca ,,,
PROVINCIA SEGUROS S.A.,7301100,34171027,VIGENTE,31/12/2014,31/12/2015, MUNICIPALIDAD DE BAHIA BLANCA,,0,A/D,ACOPLADO,ACOPLADO ACOPLADO,2000,NO,A/D,137*RIE137,0,,Diesel,,,A, Responsabilidad Civil hacia Terceros,0,HBO Broker,HBO Organismos Oficiales.,Municipalidad de Bahia Blanca ,,,
PROVINCIA SEGUROS S.A.,7301100,34171027,VIGENTE,31/12/2014,31/12/2015, MUNICIPALIDAD DE BAHIA BLANCA,,0,A/D,ACOPLADO,ACOPLADO ACOPLADO,2000,NO,A/D,160*RIE160,0,,Diesel,,,A, Responsabilidad Civil hacia Terceros,0,HBO Broker,HBO Organismos Oficiales.,Municipalidad de Bahia Blanca ,,,
PROVINCIA SEGUROS S.A.,7301100,34171027,VIGENTE,31/12/2014,31/12/2015, MUNICIPALIDAD DE BAHIA BLANCA,,0,A/D,ACOPLADO,ACOPLADO ACOPLADO,2000,NO,A/D,161*RIE161,0,,Diesel,,,A, Responsabilidad Civil hacia Terceros,0,HBO Broker,HBO Organismos Oficiales.,Municipalidad de Bahia Blanca ,,,
PROVINCIA SEGUROS S.A.,7301100,34171027,VIGENTE,31/12/2014,31/12/2015, MUNICIPALIDAD DE BAHIA BLANCA,,0,A/D,ACOPLADO,ACOPLADO ACOPLADO,2000,NO,AD,114*RIE114,0,,Diesel,,,A, Responsabilidad Civil hacia Terceros,0,HBO Broker,HBO Organismos Oficiales.,Municipalidad de Bahia Blanca ,,,
PROVINCIA SEGUROS S.A.,7301100,34171027,VIGENTE,31/12/2014,31/12/2015, MUNICIPALIDAD DE BAHIA BLANCA,,0,A/D,ACOPLADO,ACOPLADO ACOPLADO,2000,NO,AD,135*RIE135,0,,Diesel,,,A, Responsabilidad Civil hacia Terceros,0,HBO Broker,HBO Organismos Oficiales.,Municipalidad de Bahia Blanca ,,,
PROVINCIA SEGUROS S.A.,7301100,34171027,VIGENTE,31/12/2014,31/12/2015, MUNICIPALIDAD DE BAHIA BLANCA,,0,A/D,ACOPLADO,ACOPLADO ACOPLADO,2000,NO,AD,149*RIE149,0,,Diesel,,,A, Responsabilidad Civil hacia Terceros,0,HBO Broker,HBO Organismos Oficiales.,Municipalidad de Bahia Blanca ,,,
PROVINCIA SEGUROS S.A.,7301100,34171027,VIGENTE,31/12/2014,31/12/2015, MUNICIPALIDAD DE BAHIA BLANCA,,0,A/D,ACOPLADO,ACOPLADO ACOPLADO,2000,NO,AD,164*RIE164,0,,Diesel,,,A, Responsabilidad Civil hacia Terceros,0,HBO Broker,HBO Organismos Oficiales.,Municipalidad de Bahia Blanca ,,,
PROVINCIA SEGUROS S.A.,7301100,34171027,VIGENTE,31/12/2014,31/12/2015, MUNICIPALIDAD DE BAHIA BLANCA,,0,A/D,ACOPLADO,ACOPLADO ACOPLADO,2001,NO,AD,128*RIE128,0,,Diesel,,,A, Responsabilidad Civil hacia Terceros,0,HBO Broker,HBO Organismos Oficiales.,Municipalidad de Bahia Blanca ,,,
PROVINCIA SEGUROS S.A.,7301100,34171027,VIGENTE,31/12/2014,31/12/2015, MUNICIPALIDAD DE BAHIA BLANCA,,0,A/D,ACOPLADO,ACOPLADO ACOPLADO,2002,NO,AD,167*RIE167,0,,Diesel,,,A, Responsabilidad Civil hacia Terceros,0,HBO Broker,HBO Organismos Oficiales.,Municipalidad de Bahia Blanca ,,,
PROVINCIA SEGUROS S.A.,7301100,34171027,VIGENTE,31/12/2014,31/12/2015, MUNICIPALIDAD DE BAHIA BLANCA,,0,A/D,ACOPLADO,ACOPLADO ACOPLADO,2007,NO,A/D,415*14913,0,,Diesel,,,A, Responsabilidad Civil hacia Terceros,0,HBO Broker,HBO Organismos Oficiales.,Municipalidad de Bahia Blanca ,,,
PROVINCIA SEGUROS S.A.,7301100,34171027,VIGENTE,31/12/2014,31/12/2015, MUNICIPALIDAD DE BAHIA BLANCA,,0,A/D,ACOPLADO,ACOPLADO ACOPLADO,2007,NO,A/D,416*14914,0,,Diesel,,,A, Responsabilidad Civil hacia Terceros,0,HBO Broker,HBO Organismos Oficiales.,Municipalidad de Bahia Blanca ,,,
PROVINCIA SEGUROS S.A.,7301100,34171027,VIGENTE,31/12/2014,31/12/2015, MUNICIPALIDAD DE BAHIA BLANCA,,0,A/D,ACOPLADO,ACOPLADO ACOPLADO,2007,NO,A/D,417*A/D,0,,Diesel,,,A, Responsabilidad Civil hacia Terceros,0,HBO Broker,HBO Organismos Oficiales.,Municipalidad de Bahia Blanca ,,,
PROVINCIA SEGUROS S.A.,7301100,34171027,VIGENTE,31/12/2014,31/12/2015, MUNICIPALIDAD DE BAHIA BLANCA,,0,A/D,ACOPLADO,ACOPLADO ACOPLADO,2011,NO,AD,540*E540,0,,Diesel,,,A, Responsabilidad Civil hacia Terceros,0,HBO Broker,HBO Organismos Oficiales.,Municipalidad de Bahia Blanca ,,,
PROVINCIA SEGUROS S.A.,7301100,34171027,VIGENTE,31/12/2014,31/12/2015, MUNICIPALIDAD DE BAHIA BLANCA,,0,A/D,ACOPLADO,ACOPLADO ACOPLADO,2012,NO,AD,554*RIE554,0,,Diesel,,,A, Responsabilidad Civil hacia Terceros,0,HBO Broker,HBO Organismos Oficiales.,Municipalidad de Bahia Blanca ,,,
PROVINCIA SEGUROS S.A.,7301100,34171027,VIGENTE,31/12/2014,31/12/2015, MUNICIPALIDAD DE BAHIA BLANCA,,0,A/D,ACOPLADO,ACOPLADO HASTA 2 TONELADAS ACOPLADO HASTA 2 TONELADAS,1992,NO,AD,131*RIE131,0,,Diesel,,,A, Responsabilidad Civil hacia Terceros,0,HBO Broker,HBO Organismos Oficiales.,Municipalidad de Bahia Blanca ,,,
PROVINCIA SEGUROS S.A.,7301100,34171027,VIGENTE,31/12/2014,31/12/2015, MUNICIPALIDAD DE BAHIA BLANCA,,0,A/D,ACOPLADO,ACOPLADO HASTA 2 TONELADAS ACOPLADO HASTA 2 TONELADAS,1992,NO,AD,132*RIE132,0,,Diesel,,,A, Responsabilidad Civil hacia Terceros,0,HBO Broker,HBO Organismos Oficiales.,Municipalidad de Bahia Blanca ,,,
PROVINCIA SEGUROS S.A.,7301100,34171027,VIGENTE,31/12/2014,31/12/2015, MUNICIPALIDAD DE BAHIA BLANCA,,0,A/D,ACOPLADO,ACOPLADO TANQUE ACOPLADO TANQUE,1990,NO,AD,113*RIE113,0,,Diesel,,,A, Responsabilidad Civil hacia Terceros,0,HBO Broker,HBO Organismos Oficiales.,Municipalidad de Bahia Blanca ,,,
PROVINCIA SEGUROS S.A.,7301100,34171027,VIGENTE,31/12/2014,31/12/2015, MUNICIPALIDAD DE BAHIA BLANCA,,0,A/D,CARRO VOLCADOR,4 RUEDAS CAJA 5M3 HIDRÁULICO CON ACOPLE RES-DI-3R,2015,NO,,RI.E 642 ,0,,,Particular,NO,4, RESPONSABILIDAD CIVIL LIMITADA,0,HBO Broker,HBO Organismos Oficiales.,Municipalidad de Bahia Blanca ,,, RESPONSABILIDAD CIVIL LIMITADA: $0.00 Tasa: 0.000
PROVINCIA SEGUROS S.A.,7301100,34171027,VIGENTE,31/12/2014,31/12/2015, MUNICIPALIDAD DE BAHIA BLANCA,,0,A/D,DEUTZ,A 70 A 70,1965,NO,173022,016*A/D,0,,Diesel,,,A, Responsabilidad Civil hacia Terceros,0,HBO Broker,HBO Organismos Oficiales.,Municipalidad de Bahia Blanca ,,,
PROVINCIA SEGUROS S.A.,7301100,34171027,VIGENTE,31/12/2014,31/12/2015, MUNICIPALIDAD DE BAHIA BLANCA,,0,A/D,DEUTZ,A 70 A 70,1965,NO,29217255556,128*A/D,0,,Diesel,,,A, Responsabilidad Civil hacia Terceros,0,HBO Broker,HBO Organismos Oficiales.,Municipalidad de Bahia Blanca ,,,
PROVINCIA SEGUROS S.A.,7301100,34171027,VIGENTE,31/12/2014,31/12/2015, MUNICIPALIDAD DE BAHIA BLANCA,,0,A/D,DEUTZ,A 70 A 70,1965,NO,415141800,026*A/D,0,,Diesel,,,A, Responsabilidad Civil hacia Terceros,0,HBO Broker,HBO Organismos Oficiales.,Municipalidad de Bahia Blanca ,,,
PROVINCIA SEGUROS S.A.,7301100,34171027,VIGENTE,31/12/2014,31/12/2015, MUNICIPALIDAD DE BAHIA BLANCA,,0,A/D,FIAT,400 E 400 E,1962,NO,10528,066*A/D,0,,Diesel,,,A, Responsabilidad Civil hacia Terceros,0,HBO Broker,HBO Organismos Oficiales.,Municipalidad de Bahia Blanca ,,,
PROVINCIA SEGUROS S.A.,7301100,34171027,VIGENTE,31/12/2014,31/12/2015, MUNICIPALIDAD DE BAHIA BLANCA,,0,A/D,FIAT,60 60,1960,NO,45046,044*5646523,0,,Diesel,,,A, Responsabilidad Civil hacia Terceros,0,HBO Broker,HBO Organismos Oficiales.,Municipalidad de Bahia Blanca ,,,
PROVINCIA SEGUROS S.A.,7301100,34171027,VIGENTE,31/12/2014,31/12/2015, MUNICIPALIDAD DE BAHIA BLANCA,,0,A/D,FIAT,QUBO 1.4 ACTIVE QUBO 1.4 ACTIVE,2014,NO,10FSX16618368,625*ZFA225000E6820385,17696,,Diesel,,,A, Responsabilidad Civil hacia Terceros,0,HBO Broker,HBO Organismos Oficiales.,Municipalidad de Bahia Blanca ,,,
PROVINCIA SEGUROS S.A.,7301100,34171027,VIGENTE,31/12/2014,31/12/2015, MUNICIPALIDAD DE BAHIA BLANCA,,0,A/D,GENERICO,APLANADORA APLANADORA,2000,NO,GX24080,121*A/D,0,,Diesel,,,A, Responsabilidad Civil hacia Terceros,0,HBO Broker,HBO Organismos Oficiales.,Municipalidad de Bahia Blanca ,,,
PROVINCIA SEGUROS S.A.,7301100,34171027,VIGENTE,31/12/2014,31/12/2015, MUNICIPALIDAD DE BAHIA BLANCA,,0,A/D,GENERICO,ARADO ARADO,2000,NO,A/D,156*RIE156,0,,Diesel,,,A, Responsabilidad Civil hacia Terceros,0,HBO Broker,HBO Organismos Oficiales.,Municipalidad de Bahia Blanca ,,,
PROVINCIA SEGUROS S.A.,7301100,34171027,VIGENTE,31/12/2014,31/12/2015, MUNICIPALIDAD DE BAHIA BLANCA,,0,A/D,GENERICO,CARGADOR FRONTAL CARGADOR FRONTAL,1985,NO,4081991,361*RIV361,0,,Diesel,,,A, Responsabilidad Civil hacia Terceros,0,HBO Broker,HBO Organismos Oficiales.,Municipalidad de Bahia Blanca ,,,
PROVINCIA SEGUROS S.A.,7301100,34171027,VIGENTE,31/12/2014,31/12/2015, MUNICIPALIDAD DE BAHIA BLANCA,,0,A/D,GENERICO,CARGADOR FRONTAL CARGADOR FRONTAL,2002,NO,AD,362*RIV362,0,,Diesel,,,A, Responsabilidad Civil hacia Terceros,0,HBO Broker,HBO Organismos Oficiales.,Municipalidad de Bahia Blanca ,,,
PROVINCIA SEGUROS S.A.,7301100,34171027,VIGENTE,31/12/2014,31/12/2015, MUNICIPALIDAD DE BAHIA BLANCA,,0,A/D,GENERICO,CARRETON CARRETON,1993,NO,N/A,096*10532E,0,,Diesel,,,A, Responsabilidad Civil hacia Terceros,0,HBO Broker,HBO Organismos Oficiales.,Municipalidad de Bahia Blanca ,,,
PROVINCIA SEGUROS S.A.,7301100,34171027,VIGENTE,31/12/2014,31/12/2015, MUNICIPALIDAD DE BAHIA BLANCA,,0,A/D,GENERICO,CARRETON CARRETON,2000,NO,A/D,129*RIE129,0,,Diesel,,,A, Responsabilidad Civil hacia Terceros,0,HBO Broker,HBO Organismos Oficiales.,Municipalidad de Bahia Blanca ,,,
PROVINCIA SEGUROS S.A.,7301100,34171027,VIGENTE,31/12/2014,31/12/2015, MUNICIPALIDAD DE BAHIA BLANCA,,0,A/D,GENERICO,CARRO TRANSPORTADOR CARRO TRANSPORTADOR,1995,NO,AD,409*RV330,0,,Diesel,,,A, Responsabilidad Civil hacia Terceros,0,HBO Broker,HBO Organismos Oficiales.,Municipalidad de Bahia Blanca ,,,
PROVINCIA SEGUROS S.A.,7301100,34171027,VIGENTE,31/12/2014,31/12/2015, MUNICIPALIDAD DE BAHIA BLANCA,,0,A/D,GENERICO,CARRO TRANSPORTADOR CARRO TRANSPORTADOR,1995,NO,AD,410*RV331,0,,Diesel,,,A, Responsabilidad Civil hacia Terceros,0,HBO Broker,HBO Organismos Oficiales.,Municipalidad de Bahia Blanca ,,,
PROVINCIA SEGUROS S.A.,7301100,34171027,VIGENTE,31/12/2014,31/12/2015, MUNICIPALIDAD DE BAHIA BLANCA,,0,A/D,GENERICO,CARRO TRANSPORTADOR CARRO TRANSPORTADOR,1998,NO,-,A/D*C619/1,0,,Diesel,,,A, Responsabilidad Civil hacia Terceros,0,HBO Broker,HBO Organismos Oficiales.,Municipalidad de Bahia Blanca ,,,
PROVINCIA SEGUROS S.A.,7301100,34171027,VIGENTE,31/12/2014,31/12/2015, MUNICIPALIDAD DE BAHIA BLANCA,,0,A/D,GENERICO,COMPACTADOR VIBRATORIO COMPACTADOR VIBRATORIO,1996,NO,A/D,109*A/D,0,,Diesel,,,A, Responsabilidad Civil hacia Terceros,0,HBO Broker,HBO Organismos Oficiales.,Municipalidad de Bahia Blanca ,,,
PROVINCIA SEGUROS S.A.,7301100,34171027,VIGENTE,31/12/2014,31/12/2015, MUNICIPALIDAD DE BAHIA BLANCA,,0,A/D,GENERICO,CULTIVADOR CULTIVADOR,2000,NO,AD,154*RIE154,0,,Diesel,,,A, Responsabilidad Civil hacia Terceros,0,HBO Broker,HBO Organismos Oficiales.,Municipalidad de Bahia Blanca ,,,
PROVINCIA SEGUROS S.A.,7301100,34171027,VIGENTE,31/12/2014,31/12/2015, MUNICIPALIDAD DE BAHIA BLANCA,,0,A/D,GENERICO,DESMALEZADORA DESMALEZADORA,1992,NO,AD,157*RIE157,0,,Diesel,,,A, Responsabilidad Civil hacia Terceros,0,HBO Broker,HBO Organismos Oficiales.,Municipalidad de Bahia Blanca ,,,
PROVINCIA SEGUROS S.A.,7301100,34171027,VIGENTE,31/12/2014,31/12/2015, MUNICIPALIDAD DE BAHIA BLANCA,,0,A/D,GENERICO,DESMALEZADORA DESMALEZADORA,1992,NO,AD,158*RIE158,0,,Diesel,,,A, Responsabilidad Civil hacia Terceros,0,HBO Broker,HBO Organismos Oficiales.,Municipalidad de Bahia Blanca ,,,
PROVINCIA SEGUROS S.A.,7301100,34171027,VIGENTE,31/12/2014,31/12/2015, MUNICIPALIDAD DE BAHIA BLANCA,,0,A/D,GENERICO,DESMALEZADORA DESMALEZADORA,1992,NO,AD,159*RIE159,0,,Diesel,,,A, Responsabilidad Civil hacia Terceros,0,HBO Broker,HBO Organismos Oficiales.,Municipalidad de Bahia Blanca ,,,
PROVINCIA SEGUROS S.A.,7301100,34171027,VIGENTE,31/12/2014,31/12/2015, MUNICIPALIDAD DE BAHIA BLANCA,,0,A/D,GENERICO,DESMALEZADORA DESMALEZADORA,1993,NO,A/D,136*RIE136,0,,Diesel,,,A, Responsabilidad Civil hacia Terceros,0,HBO Broker,HBO Organismos Oficiales.,Municipalidad de Bahia Blanca ,,,
PROVINCIA SEGUROS S.A.,7301100,34171027,VIGENTE,31/12/2014,31/12/2015, MUNICIPALIDAD DE BAHIA BLANCA,,0,A/D,GENERICO,DESMALEZADORA DESMALEZADORA,1998,NO,A/D,133*RIE133,0,,Diesel,,,A, Responsabilidad Civil hacia Terceros,0,HBO Broker,HBO Organismos Oficiales.,Municipalidad de Bahia Blanca ,,,
PROVINCIA SEGUROS S.A.,7301100,34171027,VIGENTE,31/12/2014,31/12/2015, MUNICIPALIDAD DE BAHIA BLANCA,,0,A/D,GENERICO,DESMALEZADORA DESMALEZADORA,2000,NO,AD,165*RIE165,0,,Diesel,,,A, Responsabilidad Civil hacia Terceros,0,HBO Broker,HBO Organismos Oficiales.,Municipalidad de Bahia Blanca ,,,
PROVINCIA SEGUROS S.A.,7301100,34171027,VIGENTE,31/12/2014,31/12/2015, MUNICIPALIDAD DE BAHIA BLANCA,,0,A/D,GENERICO,DESMALEZADORA DESMALEZADORA,2003,NO,A/D,408*RIM408,0,,Diesel,,,A, Responsabilidad Civil hacia Terceros,0,HBO Broker,HBO Organismos Oficiales.,Municipalidad de Bahia Blanca ,,,
PROVINCIA SEGUROS S.A.,7301100,34171027,VIGENTE,31/12/2014,31/12/2015, MUNICIPALIDAD DE BAHIA BLANCA,,0,A/D,GENERICO,DESMALEZADORA DESMALEZADORA,2003,NO,AD,429*E429,0,,Diesel,,,A, Responsabilidad Civil hacia Terceros,0,HBO Broker,HBO Organismos Oficiales.,Municipalidad de Bahia Blanca ,,,
PROVINCIA SEGUROS S.A.,7301100,34171027,VIGENTE,31/12/2014,31/12/2015, MUNICIPALIDAD DE BAHIA BLANCA,,0,A/D,GENERICO,DESMALEZADORA DESMALEZADORA,2006,NO,AD,400*30481G604AA,0,,Diesel,,,A, Responsabilidad Civil hacia Terceros,0,HBO Broker,HBO Organismos Oficiales.,Municipalidad de Bahia Blanca ,,,
PROVINCIA SEGUROS S.A.,7301100,34171027,VIGENTE,31/12/2014,31/12/2015, MUNICIPALIDAD DE BAHIA BLANCA,,0,A/D,GENERICO,DESMALEZADORA DESMALEZADORA,2006,NO,AD,401*30482G604AA,0,,Diesel,,,A, Responsabilidad Civil hacia Terceros,0,HBO Broker,HBO Organismos Oficiales.,Municipalidad de Bahia Blanca ,,,
PROVINCIA SEGUROS S.A.,7301100,34171027,VIGENTE,31/12/2014,31/12/2015, MUNICIPALIDAD DE BAHIA BLANCA,,0,A/D,GENERICO,DESMALEZADORA DESMALEZADORA,2006,NO,AD,402*30483G604AA,0,,Diesel,,,A, Responsabilidad Civil hacia Terceros,0,HBO Broker,HBO Organismos Oficiales.,Municipalidad de Bahia Blanca ,,,
PROVINCIA SEGUROS S.A.,7301100,34171027,VIGENTE,31/12/2014,31/12/2015, MUNICIPALIDAD DE BAHIA BLANCA,,0,A/D,GENERICO,DESMALEZADORA DESMALEZADORA,2007,NO,427*RIE427,5901,0,,Diesel,,,A, Responsabilidad Civil hacia Terceros,0,HBO Broker,HBO Organismos Oficiales.,Municipalidad de Bahia Blanca ,,,
PROVINCIA SEGUROS S.A.,7301100,34171027,VIGENTE,31/12/2014,31/12/2015, MUNICIPALIDAD DE BAHIA BLANCA,,0,A/D,GENERICO,DESMALEZADORA DESMALEZADORA,2007,NO,428*RIE428,A/D,0,,Diesel,,,A, Responsabilidad Civil hacia Terceros,0,HBO Broker,HBO Organismos Oficiales.,Municipalidad de Bahia Blanca ,,,
PROVINCIA SEGUROS S.A.,7301100,34171027,VIGENTE,31/12/2014,31/12/2015, MUNICIPALIDAD DE BAHIA BLANCA,,0,A/D,GENERICO,DESMALEZADORA DESMALEZADORA,2011,NO,A/D,518*A/D,0,,Diesel,,,A, Responsabilidad Civil hacia Terceros,0,HBO Broker,HBO Organismos Oficiales.,Municipalidad de Bahia Blanca ,,,
PROVINCIA SEGUROS S.A.,7301100,34171027,VIGENTE,31/12/2014,31/12/2015, MUNICIPALIDAD DE BAHIA BLANCA,,0,A/D,GENERICO,DESMALEZADORA DESMALEZADORA,2011,NO,A/D,519*A/D,0,,Diesel,,,A, Responsabilidad Civil hacia Terceros,0,HBO Broker,HBO Organismos Oficiales.,Municipalidad de Bahia Blanca ,,,
